AC NO.,AC NAME,TOTAL ELECTORS,SL_NO,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,GENERAL,POSTAL,TOTAL,VOTE_PERCENT,AC TOTAL,VOTE SHARE,is_winner,YEAR
123,Digboi,112637,1,RAMESWAR DHANOWAR,M,73,GEN,INC,38611,52,38663,50.04,77271,0.5003558903081363,1,2011
123,Digboi,112637,2,SUREN PHUKAN,M,41,GEN,BJP,27872,33,27905,36.11,77271,0.3611316017652159,0,2011
123,Digboi,112637,3,BHULEN BORUAH,M,40,GEN,AGP,6242,11,6253,8.09,77271,0.0809229853373193,0,2011
123,Digboi,112637,4,CHANDAN BAGH,M,39,GEN,IND,2514,0,2514,3.25,77271,0.03253484489653298,0,2011
123,Digboi,112637,5,ALOK ROY,M,42,GEN,AITC,1935,1,1936,2.51,77271,0.025054677692795485,0,2011
124,Margherita,158821,1,PRADYUT BORDOLOI,M,52,GEN,INC,57612,3,57615,52.15,110484,0.5214782230911263,1,2011
124,Margherita,158821,2,KAMAKHYA TASA,M,35,GEN,BJP,41006,0,41006,37.11,110484,0.3711487636218819,0,2011
124,Margherita,158821,3,SUREN PHUKON,M,59,GEN,AGP,7065,1,7066,6.4,110484,0.06395496180442417,0,2011
124,Margherita,158821,4,JOIKRISHNA TANTI,M,60,GEN,IND,2923,0,2923,2.65,110484,0.026456319467072154,0,2011
124,Margherita,158821,5,ABANI MOHAN MEDHI,M,36,GEN,AITC,1874,0,1874,1.7,110484,0.016961732015495456,0,2011
125,Doom Dooma,120375,1,DILIP MORAN,M,44,GEN,BJP,31689,20,31709,37,85691,0.37003886055711804,1,2011
125,Doom Dooma,120375,2,RUPESH GOWALA,M,33,GEN,INC,27032,21,27053,31.57,85691,0.3157040996137284,0,2011
125,Doom Dooma,120375,3,DURGA BHUMIJ,M,43,GEN,IND,16967,4,16971,19.8,85691,0.19804880325821847,0,2011
125,Doom Dooma,120375,4,BHABO KANTO CHUTIA,M,45,GEN,IND,4072,0,4072,4.75,85691,0.047519576151521165,0,2011
125,Doom Dooma,120375,5,MANOJ MANKI,M,49,GEN,AGP,2942,2,2944,3.44,85691,0.034356000046679346,0,2011
125,Doom Dooma,120375,6,BHAGWAN TANTI,M,68,GEN,IND,1510,0,1510,1.76,85691,0.01762145382829002,0,2011
125,Doom Dooma,120375,7,BHARAT YADAV,M,44,GEN,AIUDF,1431,1,1432,1.67,85691,0.016711206544444576,0,2011
126,Sadiya,142376,1,BOLIN CHETIA,M,40,GEN,INC,46317,1,46318,44.95,103048,0.4494798540485987,1,2011
126,Sadiya,142376,2,JAGADISH BHUYAN,M,45,GEN,AGP,39448,3,39451,38.28,103048,0.3828410061330642,0,2011
126,Sadiya,142376,3,RUPSIKHA BARUAH,F,31,GEN,IND,7018,0,7018,6.81,103048,0.06810418445772844,0,2011
126,Sadiya,142376,4,LABHESWAR GOGOI,M,51,GEN,CPM,4116,0,4116,3.99,103048,0.03994255104417359,0,2011
126,Sadiya,142376,5,GOPAL PRADHAN,M,43,GEN,BJP,2605,2,2607,2.53,103048,0.025298889837745517,0,2011
126,Sadiya,142376,6,ANUP PRATIM BORBARUAH,M,43,GEN,NCP,1689,1,1690,1.64,103048,0.016400124213958544,0,2011
126,Sadiya,142376,7,LALIT DEORI,M,50,ST,AITC,994,0,994,0.96,103048,0.009645990218150765,0,2011
126,Sadiya,142376,8,DEBAJIT MORAN,M,31,GEN,SHS,854,0,854,0.83,103048,0.008287400046580235,0,2011
