AC NO.,AC NAME,TOTAL ELECTORS,SL_NO,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,GENERAL,POSTAL,TOTAL,VOTE_PERCENT,AC TOTAL,VOTE SHARE,is_winner,YEAR
28,Neravy T.R. Pattinam,26343,1,V.M.C. SIVAKKUMAR,M,60,GEN,IND,8793,67,8860,39.3,22542,0.3930440954662408,1,2011
28,Neravy T.R. Pattinam,26343,2,A. GEETHA,F,38,GEN,DMK,8449,53,8502,37.72,22542,0.3771626297577855,0,2011
28,Neravy T.R. Pattinam,26343,3,V.M.C.V. GANAPATHY,M,51,GEN,IND,2779,30,2809,12.46,22542,0.12461183568450004,0,2011
28,Neravy T.R. Pattinam,26343,4,ER. M. SELVARAJ,M,65,GEN,AIADMK,2057,8,2065,9.16,22542,0.09160677845798954,0,2011
28,Neravy T.R. Pattinam,26343,5,H. BADOUROUDINE,M,38,GEN,SDPI,243,0,243,1.08,22542,0.010779877561884482,0,2011
28,Neravy T.R. Pattinam,26343,6,SENTAMILSELVAN,M,36,GEN,BSP,63,0,63,0.28,22542,0.0027947830715996805,0,2011
29,Mahe,28484,1,E.VALSARAJ,M,57,GEN,INC,13272,25,13297,60.51,21974,0.6051242377355056,1,2011
29,Mahe,28484,2,T.K.GANGADHARAN,M,64,GEN,CPM,7179,14,7193,32.73,21974,0.32734140347683627,0,2011
29,Mahe,28484,3,RAJEENDRAN.N.K.,M,62,GEN,BJP,1481,3,1484,6.75,21974,0.06753435878765814,0,2011
30,Yanam,30936,1,MALLADI KRISHNA RAO,M,46,GEN,INC,23974,11,23985,80.95,29631,0.8094563126455402,1,2011
30,Yanam,30936,2,MANCHALA SATYA SAI KUMAR,M,45,GEN,AIADMK,4867,0,4867,16.43,29631,0.16425365326853633,0,2011
30,Yanam,30936,3,NALLA NAGA RAJU,M,34,SC,IND,154,0,154,0.52,29631,0.005197259626742263,0,2011
30,Yanam,30936,4,KALLA VENKATA RATNAM,M,52,GEN,IND,153,0,153,0.52,29631,0.0051635111876075735,0,2011
30,Yanam,30936,5,MELLAM SRINIVASA RAO,M,34,SC,IND,134,0,134,0.45,29631,0.004522290844048463,0,2011
30,Yanam,30936,6,KAMICHETTY SRIRAMA MURTHY NAIDU,M,47,GEN,BJP,119,0,119,0.4,29631,0.004016064257028112,0,2011
30,Yanam,30936,7,DOMA KANNA RAO,M,40,GEN,IND,79,0,79,0.27,29631,0.002666126691640512,0,2011
30,Yanam,30936,8,BONDA NAGESWARA RAO,M,44,GEN,IND,76,0,76,0.26,29631,0.0025648813742364415,0,2011
30,Yanam,30936,9,DHULIPUDI MADHAVA VENKANNA,M,34,GEN,IND,32,0,32,0.11,29631,0.0010799500523100806,0,2011
30,Yanam,30936,10,MALLADI UDHAYALAKSHMI,F,43,GEN,IND,31,1,32,0.11,29631,0.0010799500523100806,0,2011
